min_wet_hours,min_temp_c,consecutive_days,spray_threshold_dsv,hits,misses,false_alarms,correct_negatives,pod,far,csi,total_cost
4,8,1,12,13,0,1,1,1.0,0.0714,0.9286,500
4,8,1,15,13,0,1,1,1.0,0.0714,0.9286,500
4,8,1,18,13,0,1,1,1.0,0.0714,0.9286,500
4,8,1,21,13,0,1,1,1.0,0.0714,0.9286,500
6,8,1,12,13,0,1,1,1.0,0.0714,0.9286,500
6,8,1,15,13,0,1,1,1.0,0.0714,0.9286,500
6,8,1,18,13,0,1,1,1.0,0.0714,0.9286,500
6,8,1,21,13,0,1,1,1.0,0.0714,0.9286,500
4,8,2,12,12,1,1,1,0.9231,0.0769,0.8571,40500
4,8,2,15,12,1,1,1,0.9231,0.0769,0.8571,40500
4,8,2,18,12,1,1,1,0.9231,0.0769,0.8571,40500
4,8,2,21,12,1,1,1,0.9231,0.0769,0.8571,40500
6,8,2,12,12,1,1,1,0.9231,0.0769,0.8571,40500
6,8,2,15,12,1,1,1,0.9231,0.0769,0.8571,40500
6,8,2,18,12,1,1,1,0.9231,0.0769,0.8571,40500
6,8,2,21,12,1,1,1,0.9231,0.0769,0.8571,40500
8,8,1,12,12,1,1,1,0.9231,0.0769,0.8571,40500
8,8,1,15,12,1,1,1,0.9231,0.0769,0.8571,40500
8,8,1,18,12,1,1,1,0.9231,0.0769,0.8571,40500
8,8,1,21,12,1,1,1,0.9231,0.0769,0.8571,40500
8,8,2,12,12,1,1,1,0.9231,0.0769,0.8571,40500
8,8,2,15,12,1,1,1,0.9231,0.0769,0.8571,40500
8,8,2,18,12,1,1,1,0.9231,0.0769,0.8571,40500
8,8,2,21,12,1,1,1,0.9231,0.0769,0.8571,40500
11,8,1,12,11,2,1,1,0.8462,0.0833,0.7857,80500
11,8,1,15,11,2,1,1,0.8462,0.0833,0.7857,80500
11,8,1,18,11,2,1,1,0.8462,0.0833,0.7857,80500
11,8,1,21,11,2,1,1,0.8462,0.0833,0.7857,80500
11,8,2,12,11,2,1,1,0.8462,0.0833,0.7857,80500
11,8,2,15,11,2,1,1,0.8462,0.0833,0.7857,80500
11,8,2,18,11,2,1,1,0.8462,0.0833,0.7857,80500
11,8,2,21,11,2,1,1,0.8462,0.0833,0.7857,80500
4,8,3,12,10,3,1,1,0.7692,0.0909,0.7143,120500
4,8,3,15,10,3,1,1,0.7692,0.0909,0.7143,120500
4,8,3,18,10,3,1,1,0.7692,0.0909,0.7143,120500
4,8,3,21,10,3,1,1,0.7692,0.0909,0.7143,120500
4,10,1,12,10,3,1,1,0.7692,0.0909,0.7143,120500
4,10,1,15,10,3,1,1,0.7692,0.0909,0.7143,120500
4,10,1,18,10,3,1,1,0.7692,0.0909,0.7143,120500
4,10,1,21,10,3,1,1,0.7692,0.0909,0.7143,120500
6,8,3,12,10,3,1,1,0.7692,0.0909,0.7143,120500
6,8,3,15,10,3,1,1,0.7692,0.0909,0.7143,120500
6,8,3,18,10,3,1,1,0.7692,0.0909,0.7143,120500
6,8,3,21,10,3,1,1,0.7692,0.0909,0.7143,120500
6,10,1,12,10,3,1,1,0.7692,0.0909,0.7143,120500
6,10,1,15,10,3,1,1,0.7692,0.0909,0.7143,120500
6,10,1,18,10,3,1,1,0.7692,0.0909,0.7143,120500
6,10,1,21,10,3,1,1,0.7692,0.0909,0.7143,120500
8,10,1,12,10,3,1,1,0.7692,0.0909,0.7143,120500
8,10,1,15,10,3,1,1,0.7692,0.0909,0.7143,120500
8,10,1,18,10,3,1,1,0.7692,0.0909,0.7143,120500
8,10,1,21,10,3,1,1,0.7692,0.0909,0.7143,120500
11,8,3,12,9,4,0,2,0.6923,0.0,0.6923,160000
11,8,3,15,9,4,0,2,0.6923,0.0,0.6923,160000
